2025-05-23 10:22:48,243 [main ] INFO  Constant - Copying default configuration to /home/guest/.ZAP/config.xml
2025-05-23 10:22:48,390 [main ] INFO  Constant - Creating directory /home/guest/.ZAP/session
2025-05-23 10:22:48,391 [main ] INFO  Constant - Creating directory /home/guest/.ZAP/dirbuster
2025-05-23 10:22:48,391 [main ] INFO  Constant - Creating directory /home/guest/.ZAP/fuzzers
2025-05-23 10:22:48,391 [main ] INFO  Constant - Creating directory /home/guest/.ZAP/plugin
2025-05-23 10:22:48,492 [main ] INFO  GuiBootstrap - ZAP 2.16.1 started 23/05/2025, 10:22:48 with home: /home/guest/.ZAP/ cores: 2 maxMemory: 978 MB
2025-05-23 10:22:48,578 [AWT-EventQueue-0] WARN  GuiBootstrap - Failed to set awt app class name: Unable to make field private static java.lang.String sun.awt.X11.XToolkit.awtAppClassName accessible: module java.desktop does not "opens sun.awt.X11" to unnamed module @69eee410
2025-05-23 10:22:50,479 [AWT-EventQueue-0] INFO  View - Initialising View
2025-05-23 10:22:53,327 [ZAP-BootstrapGUI] INFO  ExtensionFactory - Installed add-ons: [[id=alertFilters, version=23.0.0], [id=ascanrules, version=71.0.0], [id=authhelper, version=0.25.0], [id=automation, version=0.49.0], [id=bruteforce, version=17.0.0], [id=callhome, version=0.14.0], [id=client, version=0.15.0], [id=commonlib, version=1.31.0], [id=database, version=0.8.0], [id=diff, version=17.0.0], [id=directorylistv1, version=9.0.0], [id=domxss, version=21.0.0], [id=encoder, version=1.6.0], [id=exim, version=0.14.0], [id=formhandler, version=6.7.0], [id=fuzz, version=13.15.0], [id=gettingStarted, version=19.0.0], [id=graaljs, version=0.9.0], [id=graphql, version=0.27.0], [id=help, version=20.0.0], [id=hud, version=0.19.0], [id=invoke, version=16.0.0], [id=network, version=0.21.0], [id=oast, version=0.21.0], [id=onlineMenu, version=14.0.0], [id=openapi, version=45.0.0], [id=postman, version=0.6.0], [id=pscan, version=0.2.1], [id=pscanrules, version=64.0.0], [id=quickstart, version=51.0.0], [id=replacer, version=20.0.0], [id=reports, version=0.38.0], [id=requester, version=7.8.0], [id=retest, version=0.11.0], [id=retire, version=0.46.0], [id=reveal, version=9.0.0], [id=scanpolicies, version=0.2.0], [id=scripts, version=45.9.0], [id=selenium, version=15.36.0], [id=sequence, version=8.0.0], [id=soap, version=24.0.0], [id=spider, version=0.14.0], [id=spiderAjax, version=23.23.0], [id=tips, version=14.0.0], [id=webdriverlinux, version=131.0.0], [id=websocket, version=32.0.0], [id=zest, version=48.5.0]]
2025-05-23 10:22:53,340 [ZAP-BootstrapGUI] INFO  ExtensionFactory - Loading extensions
2025-05-23 10:22:54,353 [ZAP-BootstrapGUI] INFO  TlsUtils - Using supported SSL/TLS protocols: [TLSv1.2, TLSv1.3]
2025-05-23 10:22:54,640 [ZAP-BootstrapGUI] INFO  ExtensionFactory - Extensions loaded
2025-05-23 10:22:57,246 [ZAP-BootstrapGUI] INFO  ExtensionLoader - Initializing Auto-update Extension - Allows ZAP to check for updates
2025-05-23 10:22:57,341 [ZAP-BootstrapGUI] INFO  ExtensionLoader - Initializing Options Extension - Options Extension
2025-05-23 10:22:58,008 [ZAP-BootstrapGUI] INFO  ExtensionLoader - Initializing Edit Menu Extension - Edit Menu Extension
2025-05-23 10:22:58,022 [ZAP-BootstrapGUI] INFO  ExtensionLoader - Initializing API Extension - Provides a rest based API for controlling and accessing ZAP
2025-05-23 10:22:58,069 [ZAP-BootstrapGUI] INFO  ExtensionLoader - Initializing History Extension - History Extension
2025-05-23 10:22:58,338 [ZAP-BootstrapGUI] INFO  ExtensionLoader - Initializing ExtensionReveal - Show hidden fields and enable disabled fields
2025-05-23 10:22:58,352 [ZAP-BootstrapGUI] INFO  ExtensionLoader - Initializing Search Extension - Search messages for strings and regular expressions
2025-05-23 10:22:58,516 [ZAP-BootstrapGUI] INFO  ExtensionLoader - Initializing Breakpoint Extension - Allows you to intercept and modify requests and responses
2025-05-23 10:22:58,681 [ZAP-BootstrapGUI] INFO  ExtensionLoader - Initializing Passive Scan Extension - Passive scanner
2025-05-23 10:22:58,689 [ZAP-BootstrapGUI] INFO  ExtensionLoader - Initializing Alerts Extension - Allows you to view and manage alerts
2025-05-23 10:22:59,141 [ZAP-BootstrapGUI] INFO  ExtensionLoader - Initializing Active Scan Extension - Active scanner, heavily based on the original Paros active scanner, but with additional tests added
2025-05-23 10:22:59,473 [ZAP-BootstrapGUI] INFO  ExtensionLoader - Initializing ExtensionSequence - ExtensionSequence
2025-05-23 10:22:59,493 [ZAP-BootstrapGUI] INFO  ExtensionLoader - Initializing Standard Menus Extension - A set of common popup menus for miscellaneous tasks
2025-05-23 10:22:59,511 [ZAP-BootstrapGUI] INFO  ExtensionLoader - Initializing ExtensionBruteForce - Forced browsing of files and directories using code from the OWASP DirBuster tool
2025-05-23 10:22:59,613 [ZAP-BootstrapGUI] INFO  ExtensionLoader - Initializing Compare Extension - Compares 2 sessions and generates an HTML file showing the differences
2025-05-23 10:22:59,621 [ZAP-BootstrapGUI] INFO  ExtensionLoader - Initializing ExtensionInvoke - Invoke external applications passing context related information such as URLs and parameters
2025-05-23 10:22:59,660 [ZAP-BootstrapGUI] INFO  ExtensionLoader - Initializing Anti-CSRF Extension - Handles anti cross site request forgery (CSRF) tokens
2025-05-23 10:22:59,701 [ZAP-BootstrapGUI] INFO  ExtensionLoader - Initializing Authentication Extension - Authentication Extension
2025-05-23 10:22:59,719 [ZAP-BootstrapGUI] INFO  ExtensionAuthentication - Loaded authentication method types: [Form-based Authentication, HTTP/NTLM Authentication, Manual Authentication, Script-based Authentication, JSON-based Authentication]
2025-05-23 10:22:59,734 [ZAP-BootstrapGUI] INFO  ExtensionLoader - Initializing Users Extension - Users Extension
2025-05-23 10:22:59,739 [ZAP-BootstrapGUI] INFO  ExtensionLoader - Initializing Parameters Extension - Summarise and analyse FORM and URL parameters as well as cookies
2025-05-23 10:22:59,766 [ZAP-BootstrapGUI] INFO  ExtensionLoader - Initializing Script Extension - Script integration
2025-05-23 10:22:59,806 [ZAP-BootstrapGUI] INFO  ExtensionLoader - Initializing ExtensionScripts - Scripting console, supports all JSR 223 scripting languages
